symbol,sector,lot_size
RELIANCE,UNKNOWN,100
HDFCBANK,UNKNOWN,100
ICICIBANK,UNKNOWN,100
INFY,UNKNOWN,100
TCS,UNKNOWN,100
LT,UNKNOWN,100
SBIN,UNKNOWN,100
AXISBANK,UNKNOWN,100
KOTAKBANK,UNKNOWN,100
ITC,UNKNOWN,100
HINDUNILVR,UNKNOWN,100
BHARTIARTL,UNKNOWN,100
MARUTI,UNKNOWN,100
M&M,UNKNOWN,100
SUNPHARMA,UNKNOWN,100
BAJFINANCE,UNKNOWN,100
ASIANPAINT,UNKNOWN,100
TITAN,UNKNOWN,100
ADANIENT,UNKNOWN,100
NTPC,UNKNOWN,100
POWERGRID,UNKNOWN,100
ONGC,UNKNOWN,100
HCLTECH,UNKNOWN,100
BAJAJFINSV,UNKNOWN,100
ULTRACEMCO,UNKNOWN,100
NESTLEIND,UNKNOWN,100
WIPRO,UNKNOWN,100
JSWSTEEL,UNKNOWN,100
GRASIM,UNKNOWN,100
TECHM,UNKNOWN,100
TATASTEEL,UNKNOWN,100
INDUSINDBK,UNKNOWN,100
HINDALCO,UNKNOWN,100
CIPLA,UNKNOWN,100
BRITANNIA,UNKNOWN,100
DRREDDY,UNKNOWN,100
APOLLOHOSP,UNKNOWN,100
EICHERMOT,UNKNOWN,100
TATACONSUM,UNKNOWN,100
DIVISLAB,UNKNOWN,100
COALINDIA,UNKNOWN,100
LTIM,UNKNOWN,100
BAJAJ-AUTO,UNKNOWN,100
HEROMOTOCO,UNKNOWN,100
SBILIFE,UNKNOWN,100
UPL,UNKNOWN,100
HDFCLIFE,UNKNOWN,100
BPCL,UNKNOWN,100
ADANIPORTS,UNKNOWN,100
SHREECEM,UNKNOWN,100
TATAPOWER,UNKNOWN,100
TVSMOTOR,UNKNOWN,100
GODREJCP,UNKNOWN,100
CHOLAFIN,UNKNOWN,100
ETERNAL,UNKNOWN,100
TRENT,UNKNOWN,100
PNB,UNKNOWN,100
HAL,UNKNOWN,100
BEL,UNKNOWN,100
SIEMENS,UNKNOWN,100
ABB,UNKNOWN,100
INDIGO,UNKNOWN,100
DLF,UNKNOWN,100
BANKBARODA,UNKNOWN,100
VEDL,UNKNOWN,100
CANBK,UNKNOWN,100
AMBUJACEM,UNKNOWN,100
PIDILITIND,UNKNOWN,100
GAIL,UNKNOWN,100
TORNTPHARM,UNKNOWN,100
BOSCHLTD,UNKNOWN,100
MUTHOOTFIN,UNKNOWN,100
LUPIN,UNKNOWN,100
AUROPHARMA,UNKNOWN,100
HAVELLS,UNKNOWN,100
ICICIPRULI,UNKNOWN,100
SRF,UNKNOWN,100
MARICO,UNKNOWN,100
VOLTAS,UNKNOWN,100
CUMMINSIND,UNKNOWN,100
ASHOKLEY,UNKNOWN,100
TATACOMM,UNKNOWN,100
NMDC,UNKNOWN,100
PFC,UNKNOWN,100
RECLTD,UNKNOWN,100
AUBANK,UNKNOWN,100
FEDERALBNK,UNKNOWN,100
IDFCFIRSTB,UNKNOWN,100
BANDHANBNK,UNKNOWN,100
MOTHERSON,UNKNOWN,100
BHEL,UNKNOWN,100
SAIL,UNKNOWN,100
ZEEL,UNKNOWN,100
BIOCON,UNKNOWN,100
GMRAIRPORT,UNKNOWN,100
NAUKRI,UNKNOWN,100
INDHOTEL,UNKNOWN,100
MCX,UNKNOWN,100
OBEROIRLTY,UNKNOWN,100
GODREJPROP,UNKNOWN,100
AARTIIND,UNKNOWN,100
BATAINDIA,UNKNOWN,100
COROMANDEL,UNKNOWN,100
CROMPTON,UNKNOWN,100
DEEPAKNTR,UNKNOWN,100
ESCORTS,UNKNOWN,100
EXIDEIND,UNKNOWN,100
GLENMARK,UNKNOWN,100
GUJGASLTD,UNKNOWN,100
IGL,UNKNOWN,100
LALPATHLAB,UNKNOWN,100
LAURUSLABS,UNKNOWN,100
MGL,UNKNOWN,100
NATIONALUM,UNKNOWN,100
PETRONET,UNKNOWN,100
PIIND,UNKNOWN,100
POLYCAB,UNKNOWN,100
RAMCOCEM,UNKNOWN,100
SYNGENE,UNKNOWN,100
MFSL,UNKNOWN,100
TATACHEM,UNKNOWN,100
M&MFIN,UNKNOWN,100
LICHSGFIN,UNKNOWN,100
IBULLSLTD,UNKNOWN,100
ABCAPITAL,UNKNOWN,100
CUB,UNKNOWN,100
RBLBANK,UNKNOWN,100
BALRAMCHIN,UNKNOWN,100
CHAMBLFERT,UNKNOWN,100
GNFC,UNKNOWN,100
GSFC,UNKNOWN,100
COFORGE,UNKNOWN,100
DIXON,UNKNOWN,100
FSL,UNKNOWN,100
HINDPETRO,UNKNOWN,100
IOC,UNKNOWN,100
IRCTC,UNKNOWN,100
NAVINFLUOR,UNKNOWN,100
OFSS,UNKNOWN,100
PERSISTENT,UNKNOWN,100
PVRINOX,UNKNOWN,100
TATAELXSI,UNKNOWN,100
CONCOR,UNKNOWN,100
BEML,UNKNOWN,100
IEX,UNKNOWN,100
INDIAMART,UNKNOWN,100
LTM,UNKNOWN,100
MPHASIS,UNKNOWN,100
ASTRAL,UNKNOWN,100
